"month_start","total_revenue","prev_revenue","revenue_growth_rate"
"2022-03-01 00:00:00.000","101683.84999999998",,
"2022-04-01 00:00:00.000","2.8838708319999866E7","101683.84999999998","282.6114911069936"
"2022-05-01 00:00:00.000","2.6226476749999978E7","2.8838708319999866E7","-0.09058074103091107"
"2022-06-01 00:00:00.000","2.342580937999996E7","2.6226476749999978E7","-0.10678778536274486"
